Année,Juridiction,Volume (mètres cubes)
2000,Canada,202372324
2000,Alberta,23418265
2000,Colombie-Britannique,78457322
2000,Manitoba,2188486
2000,Nouveau-Brunswick,11872453
2000,Terre-Neuve-et-Labrador,2868395
2000,Territoires du Nord-Ouest,19558
2000,Nouvelle-Écosse,6470221
2000,Nunavut,0
2000,Ontario,28647251
2000,Île-du-Prince-Édouard,716082
2000,Québec,43484532
2000,Saskatchewan,4197141
2000,Yukon,32618
2001,Canada,187299974
2001,Alberta,23474395
2001,Colombie-Britannique,71895565
2001,Manitoba,2078811
2001,Nouveau-Brunswick,10185695
2001,Terre-Neuve-et-Labrador,2556461
2001,Territoires du Nord-Ouest,19339
2001,Nouvelle-Écosse,6182192
2001,Nunavut,0
2001,Ontario,25544923
2001,Île-du-Prince-Édouard,625512
2001,Québec,40578613
2001,Saskatchewan,4119457
2001,Yukon,39011
2002,Canada,198230683
2002,Alberta,24673120
2002,Colombie-Britannique,77864057
2002,Manitoba,2105962
2002,Nouveau-Brunswick,9989404
2002,Terre-Neuve-et-Labrador,2561207
2002,Territoires du Nord-Ouest,29671
2002,Nouvelle-Écosse,6066274
2002,Nunavut,0
2002,Ontario,28430600
2002,Île-du-Prince-Édouard,635016
2002,Québec,41524562
2002,Saskatchewan,4308836
2002,Yukon,41974
2003,Canada,184272739
2003,Alberta,24228202
2003,Colombie-Britannique,65357574
2003,Manitoba,2105962
2003,Nouveau-Brunswick,10788255
2003,Terre-Neuve-et-Labrador,2289138
2003,Territoires du Nord-Ouest,25831
2003,Nouvelle-Écosse,6085306
2003,Nunavut,0
2003,Ontario,27565749
2003,Île-du-Prince-Édouard,649581
2003,Québec,40247338
2003,Saskatchewan,4897912
2003,Yukon,31891
2004,Canada,210870752
2004,Alberta,23509548
2004,Colombie-Britannique,86997549
2004,Manitoba,2105962
2004,Nouveau-Brunswick,11004084
2004,Terre-Neuve-et-Labrador,2327277
2004,Territoires du Nord-Ouest,26437
2004,Nouvelle-Écosse,6888524
2004,Nunavut,0
2004,Ontario,28099561
2004,Île-du-Prince-Édouard,656832
2004,Québec,43125793
2004,Saskatchewan,6102785
2004,Yukon,26400
2005,Canada,205664697
2005,Alberta,27545885
2005,Colombie-Britannique,86880467
2005,Manitoba,2497574
2005,Nouveau-Brunswick,9968491
2005,Terre-Neuve-et-Labrador,2399548
2005,Territoires du Nord-Ouest,24243
2005,Nouvelle-Écosse,6249369
2005,Nunavut,0
2005,Ontario,25711041
2005,Île-du-Prince-Édouard,569009
2005,Québec,38464175
2005,Saskatchewan,5330495
2005,Yukon,24400
2006,Canada,185359271
2006,Alberta,25268683
2006,Colombie-Britannique,80059018
2006,Manitoba,2510692
2006,Nouveau-Brunswick,10450510
2006,Terre-Neuve-et-Labrador,2049977
2006,Territoires du Nord-Ouest,24243
2006,Nouvelle-Écosse,5208833
2006,Nunavut,0
2006,Ontario,22089673
2006,Île-du-Prince-Édouard,602379
2006,Québec,33574839
2006,Saskatchewan,3501924
2006,Yukon,18500
2007,Canada,165920946
2007,Alberta,20512718
2007,Colombie-Britannique,75478284
2007,Manitoba,2160056
2007,Nouveau-Brunswick,8943599
2007,Terre-Neuve-et-Labrador,2050389
2007,Territoires du Nord-Ouest,24243
2007,Nouvelle-Écosse,5259596
2007,Nunavut,0
2007,Ontario,17518886
2007,Île-du-Prince-Édouard,570230
2007,Québec,30969528
2007,Saskatchewan,2411917
2007,Yukon,21500
2008,Canada,141397484
2008,Alberta,19824086
2008,Colombie-Britannique,61858329
2008,Manitoba,2216471
2008,Nouveau-Brunswick,8930707
2008,Terre-Neuve-et-Labrador,2049797
2008,Territoires du Nord-Ouest,23750
2008,Nouvelle-Écosse,4899407
2008,Nunavut,0
2008,Ontario,14184380
2008,Île-du-Prince-Édouard,404156
2008,Québec,25633677
2008,Saskatchewan,1353724
2008,Yukon,19000
2009,Canada,118935116
2009,Alberta,20013829
2009,Colombie-Britannique,48030843
2009,Manitoba,1284113
2009,Nouveau-Brunswick,7939664
2009,Terre-Neuve-et-Labrador,2050086
2009,Territoires du Nord-Ouest,23750
2009,Nouvelle-Écosse,4127091
2009,Nunavut,0
2009,Ontario,11790447
2009,Île-du-Prince-Édouard,404156
2009,Québec,21469345
2009,Saskatchewan,1774792
2009,Yukon,27000
2010,Canada,144309525
2010,Alberta,21052188
2010,Colombie-Britannique,62246354
2010,Manitoba,1275343
2010,Nouveau-Brunswick,9218941
2010,Terre-Neuve-et-Labrador,1501342
2010,Territoires du Nord-Ouest,30404
2010,Nouvelle-Écosse,4481540
2010,Nunavut,0
2010,Ontario,15287393
2010,Île-du-Prince-Édouard,388364
2010,Québec,26424372
2010,Saskatchewan,2376284
2010,Yukon,27000
2011,Canada,150707489
2011,Alberta,24886478
2011,Colombie-Britannique,69203564
2011,Manitoba,1243378
2011,Nouveau-Brunswick,9231392
2011,Terre-Neuve-et-Labrador,1344421
2011,Territoires du Nord-Ouest,27883
2011,Nouvelle-Écosse,3903139
2011,Nunavut,0
2011,Ontario,14309538
2011,Île-du-Prince-Édouard,388547
2011,Québec,23737606
2011,Saskatchewan,2404543
2011,Yukon,27000
2012,Canada,153207519
2012,Alberta,23030991
2012,Colombie-Britannique,68831918
2012,Manitoba,1257644
2012,Nouveau-Brunswick,9437285
2012,Terre-Neuve-et-Labrador,1107243
2012,Territoires du Nord-Ouest,10868
2012,Nouvelle-Écosse,3446993
2012,Nunavut,0
2012,Ontario,14356210
2012,Île-du-Prince-Édouard,448634
2012,Québec,28315712
2012,Saskatchewan,2937021
2012,Yukon,27000
2013,Canada,155593709
2013,Alberta,22528301
2013,Colombie-Britannique,71135020
2013,Manitoba,1267355
2013,Nouveau-Brunswick,9901514
2013,Terre-Neuve-et-Labrador,1181983
2013,Territoires du Nord-Ouest,16750
2013,Nouvelle-Écosse,3453087
2013,Nunavut,0
2013,Ontario,15547833
2013,Île-du-Prince-Édouard,360416
2013,Québec,26383590
2013,Saskatchewan,3780610
2013,Yukon,37250
2014,Canada,154915263
2014,Alberta,23358416
2014,Colombie-Britannique,66500243
2014,Manitoba,1496007
2014,Nouveau-Brunswick,10167917
2014,Terre-Neuve-et-Labrador,1695831
2014,Territoires du Nord-Ouest,18053
2014,Nouvelle-Écosse,3643052
2014,Nunavut,0
2014,Ontario,15714582
2014,Île-du-Prince-Édouard,370923
2014,Québec,28430256
2014,Saskatchewan,3496983
2014,Yukon,23000
2015,Canada,160055454
2015,Alberta,27794761
2015,Colombie-Britannique,67969770
2015,Manitoba,1072083
2015,Nouveau-Brunswick,9362789
2015,Terre-Neuve-et-Labrador,1391537
2015,Territoires du Nord-Ouest,18175
2015,Nouvelle-Écosse,3748685
2015,Nunavut,0
2015,Ontario,15828853
2015,Île-du-Prince-Édouard,370923
2015,Québec,28559310
2015,Saskatchewan,3921568
2015,Yukon,17000
2016,Canada,157231709
2016,Alberta,25818477
2016,Colombie-Britannique,66379661
2016,Manitoba,1198891
2016,Nouveau-Brunswick,9345246
2016,Terre-Neuve-et-Labrador,1225467
2016,Territoires du Nord-Ouest,32606
2016,Nouvelle-Écosse,3736468
2016,Nunavut,0
2016,Ontario,15123867
2016,Île-du-Prince-Édouard,340600
2016,Québec,30026645
2016,Saskatchewan,3985881
2016,Yukon,17900
2017,Canada,154134948
2017,Alberta,27807416
2017,Colombie-Britannique,64528326
2017,Manitoba,1350037
2017,Nouveau-Brunswick,9347159
2017,Terre-Neuve-et-Labrador,1132835
2017,Territoires du Nord-Ouest,38847
2017,Nouvelle-Écosse,3292525
2017,Nunavut,0
2017,Ontario,15176833
2017,Île-du-Prince-Édouard,342812
2017,Québec,27078839
2017,Saskatchewan,4023574
2017,Yukon,15745
2018,Canada,156183859
2018,Alberta,27370018
2018,Colombie-Britannique,67919644
2018,Manitoba,1321436
2018,Nouveau-Brunswick,9362714
2018,Terre-Neuve-et-Labrador,1266649
2018,Territoires du Nord-Ouest,33151
2018,Nouvelle-Écosse,3359178
2018,Nunavut,0
2018,Ontario,13803945
2018,Île-du-Prince-Édouard,342449
2018,Québec,27454570
2018,Saskatchewan,3944295
2018,Yukon,5810
2019,Canada,141729228
2019,Alberta,25092883
2019,Colombie-Britannique,54292867
2019,Manitoba,1360947
2019,Nouveau-Brunswick,9341187
2019,Terre-Neuve-et-Labrador,1438225
2019,Territoires du Nord-Ouest,39169
2019,Nouvelle-Écosse,3314626
2019,Ontario,14792051
2019,Île-du-Prince-Édouard,412627
2019,Québec,27278197
2019,Saskatchewan,4353813
2019,Yukon,12636
2020,Canada,140164455
2020,Alberta,29734849
2020,Colombie-Britannique,51530120
2020,Manitoba,1252415
2020,Nouveau-Brunswick,9337803
2020,Terre-Neuve-et-Labrador,1299627
2020,Territoires du Nord-Ouest,36669
2020,Nouvelle-Écosse,2499187
2020,Ontario,14025847
2020,Île-du-Prince-Édouard,376251
2020,Québec,25910000
2020,Saskatchewan,4148237
2020,Yukon,13450
2021,Canada,139104741
2021,Alberta,25237450
2021,Colombie-Britannique,52400450
2021,Manitoba,1118937
2021,Nouveau-Brunswick,9337803
2021,Terre-Neuve-et-Labrador,1393346
2021,Territoires du Nord-Ouest,39375
2021,Nouvelle-Écosse,2629582
2021,Ontario,14167805
2021,Île-du-Prince-Édouard,376633
2021,Québec,28420000
2021,Saskatchewan,3969487
2021,Yukon,13873
2022,Canada,129961929
2022,Alberta,22383201
2022,Colombie-Britannique,47602503
2022,Manitoba,1265329
2022,Nouveau-Brunswick,9337803
2022,Terre-Neuve-et-Labrador,1430232
2022,Territoires du Nord-Ouest,41744
2022,Nouvelle-Écosse,2310930
2022,Ontario,14167805
2022,Île-du-Prince-Édouard,333479
2022,Québec,26960000
2022,Saskatchewan,4110545
2022,Yukon,18358
2023,Canada,116809112
2023,Alberta,18575011
2023,Colombie-Britannique,38954242
2023,Manitoba,1265329
2023,Nouveau-Brunswick,9337803
2023,Terre-Neuve-et-Labrador,1432371
2023,Territoires du Nord-Ouest,27455
2023,Nouvelle-Écosse,2360519
2023,Ontario,13127684
2023,Île-du-Prince-Édouard,359990
2023,Québec,26960000
2023,Saskatchewan,4386016
2023,Yukon,22692
